2019-04-14 17:10:20,926: Key.down
2019-04-14 17:10:21,544: <12>
2019-04-14 17:10:21,810: Key.down
2019-04-14 17:10:21,981: <12>
2019-04-14 17:10:22,122: Key.down
2019-04-14 17:10:22,724: Key.num_lock
2019-04-14 17:10:23,114: '3'
2019-04-14 17:10:23,135: '5'
2019-04-14 17:10:23,389: '5'
2019-04-14 17:10:23,457: '3'
2019-04-14 17:10:23,583: '5'
2019-04-14 17:10:23,763: '3'
2019-04-14 17:10:23,890: '5'
2019-04-14 17:10:24,043: '3'
2019-04-14 17:10:41,345: 'h'
2019-04-14 17:10:41,664: 'e'
2019-04-14 17:10:41,959: 'l'
2019-04-14 17:10:42,164: 'l'
2019-04-14 17:10:42,403: 'o'
2019-04-14 17:10:42,731: Key.enter
2019-04-14 17:10:56,532: Key.backspace
2019-04-14 17:10:58,150: Key.ctrl_l
2019-04-14 17:10:59,425: 'z'
2019-04-14 17:10:59,912: 'z'
2019-04-14 17:11:00,301: 'z'
2019-04-14 17:11:00,627: 'z'
2019-04-14 17:11:00,973: 'z'
2019-04-14 17:11:02,241: Key.ctrl_l
2019-04-14 17:11:02,441: 'z'
2019-04-14 17:11:29,755: Key.backspace
2019-04-14 17:11:33,640: Key.ctrl_l
2019-04-14 17:11:33,953: 'z'
2019-04-14 17:12:12,023: Key.delete
2019-04-14 17:12:26,577: Key.backspace
2019-04-14 17:12:27,445: Key.ctrl_l
2019-04-14 17:12:27,669: 's'
2019-04-14 17:15:05,660: '1'
2019-04-14 17:15:05,760: '2'
2019-04-14 17:15:05,922: '2'
2019-04-14 17:15:06,115: '1'
2019-04-14 17:15:06,235: '2'
2019-04-14 17:15:06,457: '2'
2019-04-14 17:15:06,589: '1'
2019-04-14 17:15:06,733: '2'
2019-04-14 17:15:07,418: '2'
2019-04-14 17:15:08,840: '2'
2019-04-14 17:15:08,988: '1'
2019-04-14 17:15:09,225: '2'
2019-04-14 17:15:09,317: '1'
2019-04-14 17:15:09,523: '2'
2019-04-14 17:15:09,604: '1'
2019-04-14 17:15:09,764: '2'
2019-04-14 17:15:09,877: '1'
2019-04-14 17:15:09,973: '2'
2019-04-14 17:15:10,083: '1'
2019-04-14 17:15:10,149: '2'
2019-04-14 17:15:10,378: '2'
2019-04-14 17:15:10,421: '1'
2019-04-14 17:15:10,533: '2'
2019-04-14 17:15:10,591: '1'
2019-04-14 17:15:10,716: '2'
2019-04-14 17:15:10,931: '2'
2019-04-14 17:15:10,980: '1'
2019-04-14 17:15:11,162: '1'
2019-04-14 17:15:11,502: '2'
2019-04-14 17:15:11,658: '1'
2019-04-14 17:15:11,749: '2'
2019-04-14 17:15:14,257: '2'
2019-04-14 17:15:14,327: '0'
2019-04-14 17:15:14,494: '0'
2019-04-14 17:15:14,893: '0'
2019-04-14 17:15:15,713: '2'
2019-04-14 17:15:16,116: '3'
2019-04-14 17:15:16,451: '3'
2019-04-14 17:15:16,597: '5'
2019-04-14 17:15:16,719: '3'
2019-04-14 17:15:16,863: '2'
2019-04-14 17:15:16,970: '5'
2019-04-14 17:15:17,079: '3'
2019-04-14 17:15:17,129: '5'
2019-04-14 17:15:17,173: '4'
2019-04-14 17:15:20,688: Key.backspace
2019-04-14 17:15:21,193: Key.backspace
2019-04-14 17:15:21,223: Key.backspace
2019-04-14 17:15:21,254: Key.backspace
2019-04-14 17:15:21,283: Key.backspace
2019-04-14 17:15:21,314: Key.backspace
2019-04-14 17:15:21,344: Key.backspace
2019-04-14 17:15:21,373: Key.backspace
2019-04-14 17:15:21,404: Key.backspace
2019-04-14 17:15:21,434: Key.backspace
2019-04-14 17:15:21,465: Key.backspace
2019-04-14 17:15:21,495: Key.backspace
2019-04-14 17:15:21,526: Key.backspace
2019-04-14 17:15:21,557: Key.backspace
2019-04-14 17:15:21,586: Key.backspace
2019-04-14 17:15:21,616: Key.backspace
2019-04-14 17:15:21,646: Key.backspace
2019-04-14 17:15:21,677: Key.backspace
2019-04-14 17:15:21,707: Key.backspace
2019-04-14 17:15:21,737: Key.backspace
2019-04-14 17:15:21,767: Key.backspace
2019-04-14 17:15:21,797: Key.backspace
2019-04-14 17:15:22,044: Key.backspace
2019-04-14 17:15:22,340: Key.backspace
2019-04-14 17:15:23,403: '2'
2019-04-14 17:15:23,411: '4'
2019-04-14 17:15:23,540: '5'
2019-04-14 17:15:23,623: '2'
2019-04-14 17:15:23,759: '2'
2019-04-14 17:15:36,153: '1'
2019-04-14 17:15:36,240: '2'
2019-04-14 17:15:36,599: '2'
2019-04-14 17:15:36,733: '1'
2019-04-14 17:15:43,972: Key.space
2019-04-14 17:15:44,143: Key.space
2019-04-14 17:15:44,327: Key.space
2019-04-14 17:16:23,246: Key.backspace
2019-04-14 17:16:24,358: Key.ctrl_l
2019-04-14 17:16:24,557: 's'
2019-04-14 17:16:25,194: Key.alt_l
2019-04-14 17:16:25,322: Key.tab
2019-04-14 17:17:27,479: 'g'
2019-04-14 17:17:39,124: Key.shift
